date,dish_name,countries_of_origin,ingredients
5/1/2026,Sichuan Pao Cai,China,"Cabbage, carrots, radishes, ginger, garlic, chili peppers, salt, water, Sichuan peppercorns, sugar (optional), rice vinegar (optional)."
5/1/2026,Omo Tuo,Ghana,"Rice, water, salt (optional)."
5/1/2026,Shekerbura,Azerbaijan,"Wheat flour, butter, milk, egg yolk, sugar, ground almonds, ground hazelnuts, ground walnuts, cardamom, (optional saffron), (optional rose water), (optional vanilla), (optional baking powder), (optional salt)"
5/2/2026,Taba Ng Talangka,Philippines,"Talangka crab fat, garlic, onion, ginger, vinegar, salt, black pepper, chili (optional), calamansi juice (optional), butter (optional)."
5/2/2026,Eggplant Papoutsakia,Greece; Turkey,"Eggplant, ground meat, onion, garlic, tomatoes, olive oil, feta cheese, Parmesan cheese (optional), bell peppers (optional)."
5/2/2026,Hokey Pokey,New Zealand,"Sugar, golden syrup, baking soda, (optional) vinegar, (optional) butter."
5/3/2026,Goat Meat Pepper Soup,Nigeria,"Goat meat, water, peppers, onions, garlic, ginger, scent leaves (optional), basil (optional), bouillon cubes (optional), salt, ground crayfish (optional), chili paste (optional), alligator pepper (optional)."
5/3/2026,Pan de Yuca,Ecuador; Colombia,"Cassava starch, queso fresco or queso costeño"
5/3/2026,Plombières,France,"milk, heavy cream, egg yolks, sugar, vanilla, candied fruits, Kirsch, rum (optional), almond extract (optional)"
5/4/2026,Fajita,Mexico; United States,"Chicken or Beef, Bell Peppers, Onions, Tortillas, Lime, Salt, Pepper, Cumin, Garlic, Oil, (optional) Cheese, (optional) Sour Cream, (optional) Guacamole, (optional) Salsa"
5/4/2026,Cambazola,Germany,"Cow's milk, cream, blue mold, white mold, rennet, salt."
5/4/2026,Picarones,Peru,"Sweet potatoes, squash, flour, sugar, yeast, water, salt, anise seeds, oil, cinnamon, cloves, chancaca, orange peel, lemon peel, (optional) vanilla, (optional) honey, (optional) powdered sugar."
5/5/2026,Tehri,India,"Rice, potatoes, peas, tomatoes, onion, garlic, ginger, green chilies, turmeric, cumin seeds, coriander powder, garam masala, bay leaves, oil, salt, water, (optional) carrots, (optional) cauliflower, (optional) bell peppers, (optional) saffron"
5/5/2026,Mushroom Ketchup,United Kingdom,"Mushrooms, salt, allspice, cloves, black pepper, bay leaves, mace, nutmeg, ginger, onions, vinegar, white wine (optional), horseradish (optional), mustard seeds (optional), garlic (optional), sugar (optional)."
5/5/2026,Kalbi El Louz,Algeria,"Semolina, sugar, butter, almonds, orange blossom water, milk, honey, water, cinnamon (optional), lemon zest (optional)."
5/6/2026,Baghali Polo,Iran,"Rice, dill, fava beans, saffron, oil, salt, turmeric, garlic, onion, lamb (optional), chicken (optional), butter (optional), cinnamon (optional)."
5/6/2026,Kaeng yot maphrao sai kai,Thailand,"Chicken, coconut shoots, coconut milk, red curry paste, fish sauce, palm sugar, kaffir lime leaves, basil, (optional) bamboo shoots, (optional) eggplant, (optional) fresh chilies, (optional) garlic, (optional) shallots"
5/6/2026,Castagnaccio,Italy,"Chestnut flour, water, olive oil, pine nuts, raisins, rosemary, walnuts (optional), orange zest (optional), fennel seeds (optional), sugar (optional), salt."
5/7/2026,Plecing Kangkung,Indonesia,"Kangkung (water spinach), garlic, shallots, bird's eye chili peppers, tomatoes, shrimp paste, lime, salt, sugar, (optional) fried peanuts, (optional) coconut oil."
5/7/2026,Hasselback Potatoes,Sweden,"Potatoes, butter, olive oil, salt, black pepper, garlic (optional), cheese (optional), herbs (optional), breadcrumbs (optional)."
5/7/2026,Soufflé-style cheesecake,Japan,"Cream cheese, sugar, eggs, butter, milk, lemon juice, flour, cornstarch, vanilla extract, (optional) salt, (optional) baking powder, (optional) white chocolate, (optional) fruit toppings, (optional) powdered sugar for dusting."
5/8/2026,Saganaki,Greece,"Kefalotyri cheese, flour, olive oil, lemon wedges, black pepper, (ouzo), (kasseri cheese), (gruyere cheese), (feta cheese), (prawns), (tomato sauce), (herbs)."
5/8/2026,Kam Wing Tai Fish Balls,Hong Kong; Macau; China,"Fish paste, water, salt, sugar, white pepper, corn starch, tapioca starch, oil, (optional: monosodium glutamate, baking powder, garlic, shallots, soy sauce, sesame oil)"
5/8/2026,Suksil-gwa,South Korea; North Korea,"Rice flour, cinnamon, honey, sesame seeds, salt, pine nuts, ginger, jujubes, chestnuts, syrup."
5/9/2026,Kokonte,Ghana,"Cassava flour, water, salt, groundnut soup (optional), palm nut soup (optional), dried fish (optional), smoked fish (optional), meat (optional)."
5/9/2026,Porra Antequerana,Spain,"Tomatoes, bread, olive oil, garlic, green bell pepper, red bell pepper, vinegar, salt, eggs (optional), tuna (optional), ham (optional)"
5/9/2026,Leche Flan Cake,Philippines,"Eggs, sugar, milk, evaporated milk, condensed milk, vanilla extract, all-purpose flour, baking powder, butter, cream of tartar, lemon zest (optional), orange zest (optional)."
5/10/2026,Tinapayan,Philippines,"tapay, dried fish, salt"
5/10/2026,Kouign-amann,France,"Flour, butter, sugar, water, yeast, salt, (optional vanilla), (optional lemon zest)."
5/10/2026,Sekuwa,Nepal,"Meat, garlic, ginger, cumin, coriander, turmeric, red chili powder, mustard oil, yogurt, lemon juice, salt, fenugreek seeds (optional), sesame seeds (optional), fresh cilantro (optional), green chili (optional)."
5/11/2026,Glasswort Salad,Turkey,"Glasswort, olive oil, lemon juice, salt, garlic (optional), onion (optional), vinegar (optional), red pepper flakes (optional)."
5/11/2026,Bubble And Squeak,United Kingdom,"Potatoes, cabbage, butter, vegetable oil, salt, pepper, carrots (optional), peas (optional), brussels sprouts (optional), onions (optional)."
5/11/2026,Doberge Cake,United States,"Flour, sugar, butter, eggs, milk, baking powder, salt, vanilla extract, chocolate, lemon zest, lemon juice, confectioners' sugar, whipping cream, pudding mix (optional), fondant (optional), icing (optional)"
5/12/2026,Sev,India,"Besan, oil, red chili powder, turmeric powder, salt, carom seeds (optional)."
5/12/2026,Screwdriver,United States; Turkey,"Vodka, orange juice, ice (optional), orange slice (optional), cherry (optional)"
5/12/2026,Coffee And Walnut Cake,United Kingdom,"Flour, eggs, butter, sugar, coffee, walnuts, baking powder, salt, vanilla extract, milk (optional), cream cheese (optional), icing sugar (optional)"
