date,scores,first_try_guesses,border_scores,geodist_scores,geoall_scores
05/01/2026,9500,1,9500,13500,13500
05/02/2026,9500,1,9500,12500,12500
05/03/2026,10000,2,10000,14000,14500
05/04/2026,14000,2,14000,14500,14500
05/05/2026,14000,2,14500,14500,14500
05/06/2026,15000,3,15000,15000,15000
05/07/2026,5000,1,5000,8500,12500
05/08/2026,13000,2,13500,14000,14500
05/09/2026,13000,1,13000,13500,13500
05/10/2026,10000,2,10000,14500,14500
05/11/2026,9500,1,13000,14000,14000
05/12/2026,11500,1,13000,13500,13500
05/13/2026,4500,0,4500,8000,11500
05/14/2026,9000,1,12500,12500,12500
05/15/2026,5000,1,8500,8500,9000
05/16/2026,5000,1,8500,9000,12000
05/17/2026,12000,1,12000,13000,13500
05/18/2026,9500,1,9500,13000,13500
05/19/2026,0,0,6000,11500,12500
05/20/2026,14000,2,14000,14500,14500
05/21/2026,11500,1,12500,13500,13500
05/22/2026,14000,2,14000,14000,14000
05/23/2026,5000,1,5000,5000,11000
05/24/2026,8500,0,13000,13500,13500
05/25/2026,13000,2,14000,14500,14500
05/26/2026,5000,1,5000,8000,9000
05/27/2026,5000,1,5000,8500,8500
05/28/2026,13000,1,13500,13500,13500
05/29/2026,5000,1,13000,13000,14000
05/30/2026,14000,1,14000,14000,14000
05/31/2026,15000,3,15000,15000,15000
